row_ids,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
row1,4,4,3,10,9,9,10,10,3,4,4,0,2,6,0,2,8,7
row2,2,0,6,2,2,6,2,1,7,0,4,5,6,7,1,8,0,6
row3,2,0,0,10,4,7,9,3,2,9,5,10,0,0,7,10,3,8
row4,1,3,0,4,4,9,0,7,7,0,4,10,3,6,2,10,2,9
row5,7,9,3,4,7,9,3,2,0,1,5,0,3,6,0,8,3,5
row6,7,9,9,4,2,9,2,2,0,0,3,2,10,5,3,1,7,4
row7,5,6,1,0,6,3,4,3,4,8,4,6,4,5,1,6,1,1
row8,10,7,5,4,1,5,7,2,5,8,0,7,8,7,0,8,2,2
row9,1,2,5,5,7,7,6,1,0,9,6,9,2,8,0,0,4,3
row10,5,9,5,4,7,6,6,8,5,8,1,9,8,3,5,7,8,2
row11,7,1,3,7,9,0,3,6,7,3,7,3,4,10,8,9,7,4
row12,2,3,10,3,4,8,2,2,2,2,4,1,6,6,2,3,7,5
row13,7,3,7,0,7,9,7,0,0,0,2,10,9,9,2,5,2,5
row14,2,9,8,2,4,3,5,2,10,8,10,1,5,1,1,8,1,4
row15,0,8,1,10,5,10,9,10,9,10,10,3,10,2,8,1,2,6
row16,9,9,2,8,6,7,5,9,6,4,1,5,6,1,4,0,4,1
row17,7,2,1,5,8,2,3,10,2,7,5,1,1,0,4,5,2,3
row18,3,8,1,5,10,5,3,9,6,9,0,5,2,6,5,8,3,1
row19,2,6,5,3,10,1,0,2,5,6,5,1,3,9,7,7,8,9
row20,8,6,10,1,10,7,6,6,9,8,4,5,5,3,6,3,10,8
row21,6,5,1,4,2,3,10,1,3,7,0,6,7,10,4,2,4,2
row22,5,4,4,5,4,6,4,0,7,7,0,3,7,8,0,4,9,1
row23,7,5,5,0,7,4,0,9,5,6,1,5,5,10,5,5,1,4
row24,7,5,2,0,2,7,9,10,9,5,4,6,6,10,10,3,1,6
row25,2,10,6,4,8,0,8,3,10,1,4,0,5,10,0,10,0,10
row26,1,3,7,6,7,7,0,5,4,4,1,0,0,10,1,7,6,3
