operation	type	id	position	data
delete	column	col7	6
delete	column	col4	3
add	column	col10	0
add	column	col11	9
add	column	col12	1
add	column	col9	2
delete	row	row14	13
add	row	row18	7
add	row	row17	1
change	cell	row1,col3	0,2	-6.0
change	cell	row2,col2	1,1	-1.0
change	cell	row5,col6	4,5	4.0
change	cell	row6,col5	5,4	-1.0
change	cell	row10,col3	9,2	7.0
change	cell	row16,col8	15,7	-2.0
change	cell	row16,col6	15,5	-3.0
change	cell	row16,col5	15,4	2.0
change	cell	row16,col2	15,1	3.0
change	cell	row16,col3	15,2	-1.0
change	cell	row16,col1	15,0	-1.0
